V1.V,P(D1)/-P(V1) when R1.R is 95,P(D1)/-P(V1) when R1.R is 100,P(D1)/-P(V1) when R1.R is 105,I(D1.nA) when R1.R is 95,I(D1.nA) when R1.R is 100,I(D1.nA) when R1.R is 105
2.66,0.695377531,0.692421321,0.689628733,0.008529429,0.008181593,0.007862739
2.67,0.693482174,0.690525198,0.687732188,0.008614764,0.008262977,0.007940524
2.68,0.691596835,0.688639129,0.68584573,0.008700216,0.008344471,0.008018414
2.69,0.689721465,0.686763067,0.68396931,0.008785782,0.008426074,0.008096405
2.7,0.687856018,0.68489696,0.682102877,0.008871461,0.008507782,0.008174497
2.71,0.686000443,0.68304076,0.68024638,0.008957251,0.008589595,0.008252689
2.72,0.684154691,0.681194415,0.678399767,0.00904315,0.008671512,0.008330977
2.73,0.682318713,0.679357874,0.676562986,0.009129157,0.00875353,0.008409362
2.74,0.680492456,0.677531086,0.674735985,0.00921527,0.008835648,0.008487842
2.75,0.678675871,0.675713999,0.67291871,0.009301488,0.008917865,0.008566415
2.76,0.676868905,0.67390656,0.671111109,0.009387809,0.009000179,0.008645079
2.77,0.675071507,0.672108716,0.669313128,0.009474231,0.009082589,0.008723835
2.78,0.673283625,0.670320415,0.667524713,0.009560753,0.009165092,0.008802679
2.79,0.671505205,0.668541602,0.66574581,0.009647373,0.009247689,0.008881611
2.8,0.669736196,0.666772225,0.663976364,0.009734091,0.009330378,0.00896063
2.81,0.667976545,0.665012229,0.662216321,0.009820904,0.009413156,0.009039735
2.82,0.666226197,0.663261562,0.660465627,0.009907812,0.009496024,0.009118923
2.83,0.6644851,0.661520167,0.658724226,0.009994812,0.009578979,0.009198195
2.84,0.6627532,0.659787992,0.656992063,0.010081904,0.009662021,0.009277548
2.85,0.661030443,0.658064981,0.655269084,0.010169087,0.009745148,0.009356982
2.86,0.659316776,0.656351081,0.653555234,0.010256358,0.009828359,0.009436496
2.87,0.657612144,0.654646237,0.651850456,0.010343717,0.009911653,0.009516088
2.88,0.655916494,0.652950394,0.650154697,0.010431163,0.009995029,0.009595757
2.89,0.654229772,0.651263497,0.648467902,0.010518694,0.010078485,0.009675503
2.9,0.652551924,0.649585493,0.646790013,0.01060631,0.010162021,0.009755323
2.91,0.650882895,0.647916326,0.645120978,0.010694008,0.010245635,0.009835219
2.92,0.649222632,0.646255942,0.643460741,0.010781789,0.010329326,0.009915187
2.93,0.647571081,0.644604287,0.641809246,0.01086965,0.010413094,0.009995228
2.94,0.645928187,0.642961305,0.64016644,0.010957591,0.010496938,0.01007534
2.95,0.644293898,0.641326944,0.638532266,0.011045611,0.010580855,0.010155522
2.96,0.642668159,0.639701148,0.636906671,0.011133708,0.010664846,0.010235774
2.97,0.641050917,0.638083863,0.6352896,0.011221882,0.010748909,0.010316094
2.98,0.639442118,0.636475036,0.633680998,0.011310131,0.010833044,0.010396482
2.99,0.637841708,0.634874612,0.632080812,0.011398456,0.010917249,0.010476937
3,0.636249635,0.633282538,0.630488987,0.011486854,0.011001524,0.010557458
3.01,0.634665846,0.631698761,0.628905469,0.011575324,0.011085867,0.010638043
3.02,0.633090286,0.630123226,0.627330205,0.011663867,0.011170279,0.010718693
3.03,0.631522904,0.628555882,0.62576314,0.01175248,0.011254757,0.010799407
3.04,0.629963648,0.626996674,0.624204222,0.011841163,0.011339301,0.010880183
3.05,0.628412463,0.625445549,0.622653398,0.011929916,0.011423911,0.01096102
3.06,0.626869299,0.623902457,0.621110614,0.012018736,0.011508585,0.011041919
3.07,0.625334103,0.622367343,0.619575818,0.012107624,0.011593323,0.011122878
3.08,0.623806823,0.620840155,0.618048957,0.012196579,0.011678123,0.011203897
3.09,0.622287408,0.619320843,0.616529979,0.012285599,0.011762986,0.011284975
3.1,0.620775806,0.617809354,0.615018832,0.012374684,0.01184791,0.011366111
3.11,0.619271967,0.616305636,0.613515465,0.012463834,0.011932895,0.011447304
3.12,0.617775838,0.614809639,0.612019825,0.012553046,0.012017939,0.011528554
3.13,0.61628737,0.613321311,0.610531862,0.012642321,0.012103043,0.01160986
3.14,0.614806512,0.611840601,0.609051524,0.012731658,0.012188205,0.011691221
3.15,0.613333214,0.61036746,0.607578761,0.012821057,0.012273425,0.011772637
3.16,0.611867426,0.608901837,0.606113523,0.012910515,0.012358702,0.011854107
3.17,0.610409098,0.607443681,0.604655758,0.013000033,0.012444035,0.011935631
3.18,0.608958181,0.605992945,0.603205418,0.01308961,0.012529424,0.012017207
3.19,0.607514625,0.604549577,0.601762453,0.013179246,0.012614869,0.012098836
3.2,0.606078382,0.603113529,0.600326813,0.013268939,0.012700367,0.012180516
3.21,0.604649403,0.601684752,0.59889845,0.013358689,0.012785919,0.012262247
3.22,0.603227641,0.600263197,0.597477314,0.013448495,0.012871525,0.012344029
3.23,0.601813046,0.598848817,0.596063357,0.013538356,0.012957183,0.012425861
3.24,0.600405571,0.597441563,0.594656531,0.013628273,0.013042893,0.012507741
3.25,0.599005168,0.596041387,0.593256788,0.013718244,0.013128655,0.012589671
3.26,0.597611791,0.594648242,0.59186408,0.013808269,0.013214467,0.012671649
3.27,0.596225392,0.593262082,0.590478361,0.013898347,0.01330033,0.012753674
3.28,0.594845925,0.591882859,0.589099583,0.013988478,0.013386242,0.012835746
3.29,0.593473344,0.590510526,0.5877277,0.01407866,0.013472204,0.012917865
3.3,0.592107602,0.589145039,0.586362665,0.014168894,0.013558214,0.013000031
3.31,0.590748654,0.587786349,0.585004432,0.014259178,0.013644272,0.013082241
3.32,0.589396454,0.586434413,0.583652956,0.014349513,0.013730377,0.013164497
3.33,0.588050957,0.585089184,0.58230819,0.014439898,0.01381653,0.013246797
3.34,0.586712118,0.583750619,0.58097009,0.014530332,0.013902729,0.013329142
3.35,0.585379894,0.582418671,0.579638611,0.014620814,0.013988975,0.01341153
3.36,0.584054238,0.581093296,0.578313709,0.014711345,0.014075265,0.013493961
3.37,0.582735108,0.579774451,0.576995339,0.014801923,0.014161601,0.013576435
3.38,0.58142246,0.578462092,0.575683457,0.014892548,0.014247981,0.013658952
3.39,0.58011625,0.577156175,0.574378019,0.01498322,0.014334406,0.01374151
3.4,0.578816436,0.575856657,0.573078983,0.015073938,0.014420874,0.013824109
3.41,0.577522974,0.574563494,0.571786305,0.015164702,0.014507385,0.01390675
3.42,0.576235823,0.573276646,0.570499943,0.01525551,0.014593939,0.01398943
3.43,0.574954939,0.571996068,0.569219853,0.015346364,0.014680535,0.014072151
3.44,0.573680281,0.570721719,0.567945995,0.015437261,0.014767173,0.014154912
3.45,0.572411808,0.569453558,0.566678326,0.015528203,0.014853852,0.014237712
3.46,0.571149478,0.568191543,0.565416804,0.015619187,0.014940573,0.014320551
3.47,0.56989325,0.566935633,0.56416139,0.015710215,0.015027334,0.014403428
3.48,0.568643083,0.565685786,0.56291204,0.015801285,0.015114135,0.014486344
3.49,0.567398938,0.564441963,0.561668716,0.015892397,0.015200975,0.014569297
3.5,0.566160773,0.563204124,0.560431376,0.01598355,0.015287856,0.014652287
3.51,0.56492855,0.561972228,0.559199981,0.016074745,0.015374775,0.014735315
3.52,0.563702228,0.560746236,0.557974491,0.016165981,0.015461733,0.014818379
3.53,0.562481768,0.559526108,0.556754866,0.016257256,0.015548728,0.014901479
3.54,0.561267131,0.558311805,0.555541068,0.016348572,0.015635762,0.014984615
3.55,0.560058279,0.557103289,0.554333057,0.016439927,0.015722833,0.015067787
3.56,0.558855174,0.555900521,0.553130795,0.016531322,0.015809941,0.015150994
3.57,0.557657776,0.554703463,0.551934244,0.016622755,0.015897086,0.015234236
3.58,0.556466049,0.553512077,0.550743365,0.016714227,0.015984268,0.015317512
3.59,0.555279954,0.552326325,0.549558121,0.016805736,0.016071485,0.015400822
3.6,0.554099455,0.55114617,0.548378475,0.016897284,0.016158738,0.015484167
3.61,0.552924514,0.549971575,0.54720439,0.016988868,0.016246026,0.015567544
3.62,0.551755095,0.548802503,0.546035828,0.01708049,0.016333349,0.015650955
3.63,0.550591161,0.547638918,0.544872753,0.017172148,0.016420707,0.015734399
3.64,0.549432676,0.546480783,0.543715128,0.017263843,0.016508099,0.015817876
3.65,0.548279605,0.545328063,0.542562919,0.017355573,0.016595526,0.015901384
3.66,0.547131911,0.544180721,0.541416088,0.017447339,0.016682986,0.015984925
3.67,0.545989559,0.543038723,0.540274601,0.01753914,0.016770479,0.016068497
3.68,0.544852514,0.541902033,0.539138422,0.017630976,0.016858005,0.016152101
3.69,0.543720742,0.540770616,0.538007517,0.017722847,0.016945564,0.016235736
3.7,0.542594208,0.539644438,0.53688185,0.017814752,0.017033156,0.016319401
3.71,0.541472877,0.538523464,0.535761388,0.017906691,0.017120779,0.016403098
3.72,0.540356716,0.537407661,0.534646096,0.017998663,0.017208435,0.016486824
3.73,0.53924569,0.536296994,0.53353594,0.018090669,0.017296122,0.01657058
3.74,0.538139766,0.53519143,0.532430887,0.018182708,0.017383841,0.016654366
3.75,0.537038912,0.534090935,0.531330903,0.01827478,0.01747159,0.016738182
3.76,0.535943093,0.532995477,0.530235956,0.018366884,0.01755937,0.016822027
3.77,0.534852277,0.531905022,0.529146012,0.01845902,0.017647181,0.0169059
